name,url
100% Dark Hot Chocolate Flakes,/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,/products/70-dark-hot-chocolate-flakes
Almost Perfect,/products/almost-perfect
Assorted Chocolate Malt Balls,/products/assorted-chocolate-malt-balls
Blonde Caramel,/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,/products/celebration-hamper
Christmas Cracker,/products/christmas-cracker-chocolate-bar
Cinnamon Toast,/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,/products/colombian-dark-chocolate-bar
Crunchy Biscuit,/products/crunchy-biscuit-blonde-chocolate-bar
